prompt,prompt_id,file_count,contain_keyword,n,eh,v,axr
"Once you finish greasing your chain, be sure to wash thoroughly.",sx422,7,False,3,0,0,1
Smash lightbulbs and their cash value will diminish to nothing.,sx423,7,False,2,0,1,1
Top zinnias rarely have crooked stems.,sx424,7,False,0,2,1,0
Movies never have enough villains.,sx425,7,True,3,1,4,1
A moth zig-zagged along the path through Otto's garden.,sx426,7,False,0,0,0,0
Every cab needs repainting often.,sx427,7,False,3,1,1,0
"A crab challenged me, but a quick stab vanquished him.",sx428,7,False,1,0,1,0
A toothpaste tube should be squeezed from the bottom.,sx429,7,False,0,0,0,0
Those who are not purists use canned vegetables when making stew.,sx430,7,False,2,1,1,1
"The fifth jar contains big, juicy peaches.",sx431,7,False,1,0,0,0
"Coffee is grown on steep, jungle-like slopes in temperate zones.",sx432,7,False,3,1,0,1
The overweight charmer could slip poison into anyone's tea.,sx433,7,False,3,1,1,2
Each stag surely finds a big fawn.,sx434,7,False,2,0,0,0
The rich should invest in black zircons instead of stylish shoes.,sx435,7,False,4,2,2,0
Please sing just the club theme.,sx436,7,False,0,1,0,0
They used an aggressive policeman to flag thoughtless motorists.,sx437,7,False,2,1,1,1
Shell shock caused by shrapnel is sometimes cured through group therapy.,sx438,7,False,1,3,0,0
That stinging vapor was caused by chloride vaporization.,sx439,7,False,1,1,2,2
The advertising verse of Plymouth Variety Store never changes.,sx440,7,True,2,1,5,3
Don't look for group valuables in a bank vault.,sx441,7,False,1,0,2,1
Suburban housewives often suffer from the gab habit.,sx442,7,False,2,0,1,0
A lone star shone in the early evening sky.,sx443,7,False,5,0,1,0
The toddler found a clamshell near the camp site.,sx444,7,False,2,1,0,0
What is this large thing by the ironing board?,sx445,7,False,0,0,0,1
Thomas thinks a larger clamp solves the problem.,sx446,7,False,0,0,1,1
First add milk to the shredded cheese.,sx447,7,False,0,1,0,0
Spherical gifts are difficult to wrap.,sx448,7,False,0,0,0,0
Ralph prepared red snapper with fresh lemon sauce for dinner.,sx449,7,False,3,4,0,4
Roy ignored the spurious data points in drawing the graph.,sx450,7,False,2,0,0,0
The thick elm forest was nearly overwhelmed by Dutch Elm Disease.,sx451,7,False,1,3,1,1
"In developing film, many toxic chemicals are used.",sx452,7,False,1,3,1,1
"Everything went real smooth, the sheriff said.",si453,1,False,1,3,1,0
"If you destroy confidence in banks, you do something to the economy, he said.",si454,1,False,2,1,0,0
One validated acts of school districts.,si455,1,False,1,0,1,1
Two other cases also were under advisement.,si456,1,False,2,0,1,0
Both figures would go higher in later years.,si457,1,False,1,0,0,3
This is not a program of socialized medicine.,si458,1,False,2,1,1,0
He further proposed grants of an unspecified sum for experimental hospitals.,si459,1,False,4,2,1,3
Nothing has been done yet to take advantage of the enabling legislation.,si460,1,False,5,3,2,0
Day after day some new episode is reported.,si461,1,False,1,1,0,1
It also provides for funds to clear slums and help colleges build dormitories.,si462,1,False,1,1,1,3
The hotel owner shrugged.,si463,1,False,0,1,0,0
The prospect of cutting back spending is an unpleasant one for any governor.,si464,1,False,5,4,2,3
Nobody really expects to evacuate.,si465,1,False,1,1,1,0
Then we'd really have someplace to go.,si466,1,False,1,1,1,0
He really crucified him; he nailed it for a yard loss.,si467,1,False,1,0,0,0
There is definitely some ligament damage in his knee.,si468,1,False,3,2,0,0
In fact our whole defensive unit did a good job.,si469,1,False,2,1,1,0
A quick touchdown resulted.,si470,1,False,1,0,0,0
Suddenly my reflexes are gone.,si471,1,False,2,1,0,0
He played basketball there while working toward a law degree.,si472,1,False,0,1,0,0
Yet he remains the fiercest of competitors.,si473,1,False,1,2,1,1
The golfing fathers ruled in his favor.,si474,1,False,1,0,1,2
They will take a wedding trip later.,si475,1,False,0,1,0,1
"So, if anybody solicits by phone, make sure you mail the dough to the above.",si476,1,False,1,1,1,0
Her position covers a number of daily tasks common to any social director.,si477,1,False,2,1,1,3
The job also covers a number of other items.,si478,1,False,1,0,2,1
The structures housing the apartments are of masonry and frame construction.,si479,1,False,4,0,1,0
Range was a vital detail.,si480,1,False,1,0,1,0
"This, he added, brought about petty jealousies and petty personal grievances.",si481,1,False,2,3,1,0
There was no confirmation of such massive assaults from independent sources.,si482,1,False,6,1,2,1
The staff deserves a lot of credit working down here under real obstacles.,si483,1,False,2,1,1,0
The family requests that flowers be omitted.,si484,1,False,0,2,0,1
Both cars were slightly damaged.,si485,1,False,0,0,0,1
It was time to go up myself.,si486,1,False,1,1,0,0
"""Cable confirmation"", it said translated.",si487,1,False,3,1,0,1
"They make gin saws and deal in parts, supplies and some used gin machinery.",si488,1,False,4,0,0,1
We must be ready for any needed sacrifice.,si489,1,False,1,1,0,1
Maybe it's taking longer to get things squared away than the bankers expected.,si490,1,False,1,4,0,0
Hiring the wife for one's company may win her tax-aided retirement income.,si491,1,False,5,0,0,3
So he hides the mayonnaise.,si492,1,False,1,0,0,0
"Unfortunately, there is still little demand for broccoli and cauliflower.",si493,1,False,4,1,0,2
Bake slowly at least one-half hour longer.,si494,1,False,1,0,0,2
They either walked or were driven.,si495,1,False,1,0,1,3
"They could walk, ride on a bus or be driven.",si496,1,False,2,0,1,1
"Displayed as lamps, the puppets delight the children and are decorative accent.",si497,1,False,3,2,1,0
"To create such a lamp, order a wired pedestal from any lamp shop.",si498,1,False,0,2,0,2
The scalloped edge is particularly appealing.,si499,1,False,0,1,0,1
There are more obvious nymphomaniacs on any private-eye series.,si500,1,False,3,1,2,1
"But this doesn't detract from its merit as an interesting, if not great, film.",si501,1,False,4,3,0,0
And you think you have language problems.,si502,1,False,1,0,1,0
Very austere yet racy.,si503,1,False,0,2,1,0
"Where do you put the lighter fluid, ha, ha?",si504,1,False,0,0,0,0
This excellent foreign bomb takes only six.,si505,1,False,3,1,0,1
They polished the windshield.,si506,1,False,1,0,0,0
"Ideally, he knew, it should be preceded by concrete progress at lower levels.",si507,1,False,2,2,1,2
Mollusks are a case in point.,si508,1,False,1,0,0,0
This is a significant advance but its import should not be exaggerated.,si509,1,False,4,0,1,1
Adequate compensation is indispensable.,si510,1,False,2,0,0,0
This is a problem that goes considerably beyond questions of salary and tenure.,si511,1,False,3,2,1,2
It was most effective against trade unions.,si512,1,False,3,2,1,0
This is no surprising trait for a ballplayer.,si513,1,False,1,0,0,1
You're afraid to talk to a guy you idolize.,si514,1,False,0,0,0,1
Little geeing and hawing have been necessary.,si515,1,False,2,2,1,0
Some observers speculated that this might be his revenge on his home town.,si516,1,False,3,1,2,2
Confusion became chaos; each succeeding day brought new acts of violence.,si517,1,False,4,1,1,0
Higher toll rates also are helping boost revenues.,si518,1,False,1,3,1,1
That added traffic means rising streams of dimes and quarters at toll gates.,si519,1,False,1,0,1,1
"Success, for many turnpikes, has come hard.",si520,1,False,1,3,0,2
Traffic frequently has failed to measure up to engineers' rosy estimates.,si521,1,False,3,4,0,1
"Progress is being made, too, in improving motorists' access to many turnpikes.",si522,1,False,3,2,1,0
Under this law annual grants are given to systems in substantial amounts.,si523,1,False,7,0,1,0
"Within a system, however, the autonomy of each member library is preserved.",si524,1,False,1,2,3,3
The desire and ability to read are important aspects of our cultural life.,si525,1,False,2,1,1,1
We congratulate the entire membership on its record of good legislation.,si526,1,False,2,4,1,3
The boost is helpful but inadequate.,si527,1,False,1,1,0,0
Thereupon followed a demonstration that tyranny knows no ideological confines.,si528,1,False,8,2,0,0
Wooded stream valleys in the folds of earth would be saved.,si529,1,False,1,0,3,0
"His election, on the other hand, would unquestionably strengthen the regulars.",si530,1,False,6,3,0,2
"He spoke briefly, sensibly, to the point and without oratorical flourishes.",si531,1,False,3,1,0,2
"Further, it has its work cut out stopping anarchy where it is now garrisoned.",si532,1,False,4,2,0,1
"Fools, he bayed, what do you think you are doing?",si533,1,False,0,0,0,0
He earnestly urged a cease-fire.,si534,1,False,1,1,0,0
Too many have bogged down in bickering.,si535,1,False,2,2,1,1
So we note approvingly a fresh sample of unanimity.,si536,1,False,3,1,2,0
It is one of the rare public ventures here on which nearly everyone is agreed.,si537,1,False,3,3,3,0
County officials have cooperated consistently.,si538,1,False,1,0,1,0
But that heritage is shrinking even faster.,si539,1,False,1,1,1,2
"Thus there is a clearer division of authority, administrative and legislative.",si540,1,False,2,2,4,1
It helps those people who help themselves.,si541,1,False,0,3,1,0
She came back the other day to reassure me.,si542,1,False,0,0,0,1
"Jokes, cartoons and cynics to the contrary, mothers-in-law make good friends.",si543,1,False,5,2,0,0
Theirs is a sacrificial life by earthly standards.,si544,1,False,1,1,0,2
But how little love we give him!,si545,1,False,0,0,2,0
The narrow fringe of sadness that ran around it only emphasized the pleasure.,si546,1,False,5,3,1,2
Would a blue feather in a man's hat make him happy all day?,si547,1,False,1,1,0,0
Never happier in my life.,si548,1,False,2,1,1,0
These programs emphasize the acceptance of biracial classrooms peacefully.,si549,1,False,1,1,1,0
You certainly can't expect the infield to do any better than it did last year.,si550,1,False,1,5,0,2
Is the mother of an autistic child at fault?,si551,1,False,1,0,1,0
We think differently.,si552,1,False,1,0,0,0
"As a rule, the autistic child doesn't enjoy physical contact with others.",si553,1,False,2,0,0,1
Or certain words or rituals that child and adult go through may do the trick.,si554,1,False,1,1,0,0
Only ingenuity will uncover it.,si555,1,False,4,0,1,1
"We did not accept the diagnosis at once, but gradually we are coming to.",si556,1,False,3,1,0,0
How do they turn out later?,si557,1,False,0,0,0,1
Is a relaxed home atmosphere enough to help her outgrow these traits?,si558,1,False,1,1,0,1
They seem darned proud of it.,si559,1,False,0,0,1,0
"Where only one club existed before, he says, two will flourish henceforth.",si560,1,False,1,2,0,0
"This is going to be a language lesson, and you can master it in a few minutes.",si561,1,False,4,1,0,1
Family loyalties and cooperative work have been unbroken for generations.,si562,1,False,5,1,1,3
Heels place emphasis on the long legged silhouette.,si563,1,False,1,3,0,0
Wine glass heels are to be found in both high and semi-heights.,si564,1,False,2,1,0,0
Stacked heels are also popular on dressy or tailored shoes.,si565,1,False,1,1,0,0
Contrast trim provides other touches of color.,si566,1,False,1,0,2,2
"At the left is a pair of dressy straw pumps in a light, but crisp texture.",si567,1,False,1,4,1,0
At right is a casual style in a crushed unlined white leather.,si568,1,False,3,1,0,0
Most of us brush our teeth by hand.,si569,1,False,1,0,1,0
The bristles are soft enough to massage the gums and not scratch the enamel.,si570,1,False,3,0,0,0
"""Steam baths"" writes: do steam baths have any health value?",si571,1,False,0,1,2,0
"""Sewing brings numbness"" writes: what makes my hands numb when sewing?",si572,1,False,5,1,0,0
Teaching guides are included with each record.,si573,1,False,0,1,0,1
It motivates his behavior.,si574,1,False,0,0,2,1
"He doesn't want her to look frowningly at him, or speak to him angrily.",si575,1,False,3,1,0,1
But even mother's loving attitude will not always prevent misbehavior.,si576,1,False,3,1,4,1
She can decrease the number of temptations.,si577,1,False,2,1,1,0
She can remove all knick-knacks within reach.,si578,1,False,4,0,1,0
"Usually, they titter loudly after they have passed by.",si579,1,False,0,0,1,2
"Too often, unless he hails them, they pass him by.",si580,1,False,2,3,0,0
"Say he is a horse thief, runs an old adage.",si581,1,False,2,0,0,0
It seems that open season upon veterans' hospitalization is once more upon us.,si582,1,False,5,2,1,0
This we can sympathetically understand.,si583,1,False,3,1,0,0
This is taxation without representation.,si584,1,False,3,1,0,0
Our entire economy will have a terrific uplift.,si585,1,False,1,1,1,2
One even gave my little dog a biscuit.,si586,1,False,2,0,2,0
Maybe he will help to turn our fair city into a ghost town.,si587,1,False,3,2,0,1
Why do we need bigger and better bombs?,si588,1,False,2,2,0,2
One of the problems associated with the expressway stems from the basic idea.,si589,1,False,1,2,1,0
"Bridges, tunnels and ferries are the most common methods of river crossings.",si590,1,False,2,2,2,2
Replace it with the statue of one or another of the world's famous dictators.,si591,1,False,1,0,2,3
Who wants this deed done?,si592,1,False,2,0,0,0
The gallant half-city is dying on its feet.,si593,1,False,1,0,0,0
The trial balloons are afloat.,si594,1,False,1,0,0,0
Their privations are almost beyond endurance.,si595,1,False,3,1,1,1
On these they feel they can rely.,si596,1,False,2,0,0,0
The moment of truth is the moment of crisis.,si597,1,False,0,0,2,0
New self-deceiving rags are hurriedly tossed on the too-naked bones.,si598,1,False,4,1,1,0
What explains this uni-directional paralysis?,si599,1,False,2,1,0,1
Originals are not necessarily good and adaptations are not necessarily bad.,si600,1,False,5,4,0,3
But that explanation is only partly true.,si601,1,False,3,1,0,0
"But the ships are very slow now, and we don't get so many sailors any more.",si602,1,False,3,3,1,2
Melancholy obsession.,si603,1,False,1,2,0,0
They were shown how to advance against an enemy outpost atop a cleared ridge.,si604,1,False,4,2,1,0
We would lose our export markets and deny ourselves the imports we need.,si605,1,False,3,2,0,0
With this no loyal citizen can quarrel.,si606,1,False,2,0,0,0
Mercenary: term of honor?,si607,1,False,1,0,1,1
This possibility is anything but reassuring.,si608,1,False,0,1,0,0
The public is now armed with sophistication and numerous competing media.,si609,1,False,3,1,0,1
But the attack was made from an advance copy.,si610,1,False,1,1,1,1
"Well, now we have two big theaters.",si611,1,False,1,1,1,1
Splendor by sorcery: it's a horror.,si612,1,False,1,1,0,3
One-upmanship is practiced by both sides in a total war.,si613,1,False,2,0,0,0
"This big, flexible voice with uncommon range has been superbly disciplined.",si614,1,False,5,2,1,0
"Her debut over, perhaps the earlier scenes will emerge equally fine.",si615,1,False,2,0,1,1
He injected more vitality into the score than it has revealed in many years.,si616,1,False,5,2,2,1
"The storyline, in sort, is wildly unrealistic.",si617,1,False,3,0,0,0
He talked about unauthentic storylines too.,si618,1,False,3,1,0,0
He praises many individuals generously.,si619,1,False,2,2,1,1
His portrayal of an edgy head-in-the-clouds artist is virtually flawless.,si620,1,False,2,2,2,0
Not a corner has been visibly cut in this one.,si621,1,False,5,0,1,0
The master's hand has lost none of its craft.,si622,1,False,3,1,1,1
He showed puny men attacked by splendidly tyrannical machines.,si623,1,False,4,2,0,1
He may have a point in urging that decadent themes be given fewer prizes.,si624,1,False,3,1,2,1
A tiny handful never did make the concert.,si625,1,True,4,1,1,2
The works are presented chronologically.,si626,1,False,1,1,0,0
The humor of the situation can be imagined.,si627,1,False,3,1,1,0
It all takes place in the eighteenth century.,si628,1,False,2,1,0,1
His technique is ample and his musical ideas are projected beautifully.,si629,1,False,2,2,0,2
What a discussion can ensue when the title of this type of song is in question.,si630,1,False,5,2,2,0
Program note reads as follows: take hands; this urgent visage beckons us.,si631,1,False,2,1,1,0
The orchestra was obviously on its mettle and it played most responsively.,si632,1,False,2,1,2,0
He liked to nip ear lobes of unsuspecting visitors with his needle-sharp teeth.,si633,1,False,3,1,2,1
"Here, he is, quite persuasively, the very embodiment of meanness and slyness.",si634,1,False,2,2,3,1
"He is a man of major talent -- but a man of solitary, uncertain impulses.",si635,1,False,4,1,2,1
"He was above all a friend seeker, almost pathetic in his eagerness to be liked.",si636,1,False,3,2,1,2
He enlisted a staff of loyal experts and of many zealous volunteers.,si637,1,False,2,4,3,1
This theory eventually proved inexact.,si638,1,False,1,0,2,0
The heavens refused to give up their weeping.,si639,1,False,1,1,2,1
But what has been happening recently might be described as creeping mannerism.,si640,1,False,4,0,0,1
"Clever light songs were overly coy, tragic songs a little too melodramatic.",si641,1,False,0,2,2,4
"Their props were two stepladders, a chair and a palm fan.",si642,1,False,2,3,0,2
The armchair traveler preserves his illusions.,si643,1,False,1,1,2,1
All are well written and are overwritten.,si644,1,False,1,1,1,1
He ignores guidebook facts.,si645,1,False,1,0,0,0
"Nice, even if a trifle gaudy.",si646,1,False,2,0,1,0
"Below is a specific guide, keyed to the calendar.",si647,1,False,1,0,0,1
A sailboat may have a bone in her teeth one minute and lie becalmed the next.,si648,1,False,6,1,2,1
It suffers from a lack of unity of purpose and respect for heroic leadership.,si649,1,False,2,2,2,3
The fat man has trouble buying life insurance or has to pay higher premiums.,si650,1,False,1,0,0,2
"Far more frequently, overeating is the result of a psychological compulsion.",si651,1,False,1,0,2,2
Just what is meant by spirit and by matter?,si652,1,False,2,1,0,1
Surely this is a reality we all acknowledge.,si653,1,False,1,0,0,0
Yet it exists and has an objective reality which can be experienced and known.,si654,1,False,6,3,1,0
Yet the spirit which lives in community is not identical with the community.,si655,1,False,2,2,1,0
But this statement is completely unconvincing.,si656,1,False,4,0,1,0
A second point requires more extended comment.,si657,1,False,4,3,0,0
"The straight line would symbolize its uniqueness, the circle its universality.",si658,1,False,3,1,2,0
"His history is his alone, yet each man must recognize his own history in it.",si659,1,False,5,2,0,0
Historical existence is a created good.,si660,1,False,1,0,0,1
"Death reminds man of his sin, but it reminds him also of his transience.",si661,1,False,6,1,2,0
Such a calm and assuring peace can be yours.,si662,1,False,1,0,0,0
"Satellites, sputniks, rockets, balloons; what next?",si663,1,False,3,1,0,0
Look at the things we do to escape our fears and to forget our worries.,si664,1,False,1,2,0,2
"Meanwhile, the enemy will capitalize on our fears, if he can.",si665,1,False,3,1,0,1
Our enemy is also threatening to devour us.,si666,1,False,1,2,1,1
"Yes indeed, we too can see a warlike host of infidels encamped against us.",si667,1,False,5,3,1,0
"We are all involved in them, deeply involved.",si668,1,False,3,1,4,0
"Later, we shall see what happened when an emperor took this idea too literally.",si669,1,False,3,2,0,3
Neglect means spiritual paralysis or death.,si670,1,False,2,2,0,0
A helpful leaflet may be enclosed in the letter.,si671,1,False,2,2,0,1
None should ask less.,si672,1,False,2,1,0,0
"Psychologically the reception should be the climax, following the sermon.",si673,1,False,3,1,0,1
This is no spectator-type experience; everyone is to be a participant.,si674,1,False,4,3,1,1
"Both eventualities are possible logically, but practically they are impossible.",si675,1,False,1,2,1,1
Theocracy reconsidered.,si676,1,False,0,0,0,1
Comparable trends can be noted elsewhere.,si677,1,False,2,2,0,1
Salvation reconsidered.,si678,1,False,2,0,1,1
"He is not talking in the main about probabilities, risks and danger in general.",si679,1,False,7,1,0,2
No political order or economic system is so clearly contrary to nature.,si680,1,False,4,0,0,2
Would such an act of refusal be useful?,si681,1,False,1,0,1,0
Often they are able to get in only because the area is declining economically.,si682,1,False,5,3,0,0
An octillion atoms -- now let us see where this power comes from.,si683,1,False,2,0,0,2
"This is the atomic sun, the atomic nucleus.",si684,1,False,2,0,0,0
"At any rate, it shows us how immaterial we are.",si685,1,False,0,2,0,0
Others were ephemeral.,si686,1,False,0,0,0,1
The anti-slavery movement took many forms.,si687,1,False,3,1,2,1
The dead spirits occupied a prominent place in every hope and in every fear.,si688,1,False,5,3,2,1
Men believed they could control nature by obeying a moral code.,si689,1,False,2,1,1,1
"Propriety was synonymous with ritual observance, the mark of a true gentleman.",si690,1,False,3,1,2,2
But this esoteric doctrine was lost in the shuffle to acquire special powers.,si691,1,False,1,2,0,3
"Why, said the teacher, art thou so late?",si692,1,False,0,0,0,0
He who does not love abides in death.,si693,1,False,2,1,1,0
The new birth is miraculous and mysterious.,si694,1,False,2,1,0,1
The new birth is immediate and instantaneous.,si695,1,False,5,1,0,1
Some have walked through pain and sorrow to bring you their message of hope.,si696,1,False,2,3,2,0
But from the start they had two important ingredients: sincerity and realism.,si697,1,False,2,2,0,1
The crisis later on when debts seemed about to overwhelm me.,si698,1,False,2,2,1,1
"You're not living up to your own principles, she told my discouraged people.",si699,1,False,3,0,1,3
You're so preoccupied that you've let your faith grow dim.,si700,1,False,0,2,1,2
There are people who travel long distances to assure my continued existence.,si701,1,False,3,1,1,0
We have also seen the power of faith at work among us.,si702,1,False,1,2,1,1
It was muscular but it wasn't symmetrical.,si703,1,False,1,1,0,1
"Oh, you'll wobble and weave quite a bit at first.",si704,1,False,1,1,1,0
Ants carry away the seeds so better be sure that there are no ant hills nearby.,si705,1,False,4,3,0,0
Pansies are gluttons.,si706,1,False,1,0,0,0
"The avocado should have a give to it, as you hold it, when it is ripe.",si707,1,False,1,0,3,0
There is no dyeing or waxing or gassing needed.,si708,1,False,2,0,0,0
"Avocados, however, are very rich in nutrients.",si709,1,False,2,1,3,0
"However, the aircraft which we have today are tied to large, soft airfields.",si710,1,False,0,3,2,0
Nuclear rockets can destroy airfields with ease.,si711,1,False,2,1,0,1
"Our first necessity, at the very outset of war, is post-attack reconnaissance.",si712,1,False,1,2,2,1
What targets have we successfully knocked out?,si713,1,False,1,1,1,0
Other interpretations present the music as an essentially intimate creation.,si714,1,False,7,2,0,0
For me it has more of both elements than the majority of its competitors.,si715,1,False,2,2,2,3
There are canoes ideal for fishing in protected waters or for camping trips.,si716,1,False,2,1,0,5
Now here is truly a marvel.,si717,1,False,1,0,1,0
State numbering laws differ from each other in many ways.,si718,1,False,2,1,0,2
Industry interest in safety goes even farther.,si719,1,False,4,0,1,1
File to a smooth finish.,si720,1,False,1,0,0,0
This tool can also be made with a lathe.,si721,1,False,1,0,0,0
This changes the formula to an equation.,si722,1,False,3,0,0,0
The total of these three volumes is the final combustion chamber volume.,si723,1,False,1,0,2,0
"It's a streamlined rifle, fast and well-made.",si724,1,False,1,0,0,0
A spring trap for solid mounting and a regular hand trap are also available.,si725,1,False,3,2,1,2
Promptly at seven he would clatter out of the court with twelve in the tallyho.,si726,1,False,3,2,3,2
Then simmer fifteen minutes longer.,si727,1,False,1,1,0,1
"Poach the apples in this syrup for twelve minutes, drain them, and cool.",si728,1,False,3,2,1,1
Best solution is to find an area that is predominantly sunlight or shade.,si729,1,False,4,3,0,2
Another memo for sightseers: bring your camera along to museums.,si730,1,False,1,1,0,0
A few years later the dome fell in.,si731,1,False,1,1,0,2
Do line barbecue fire bowl with heavy foil to reflect heat.,si732,1,False,1,2,1,2
Do avoid puncturing or cutting into meats to test them.,si733,1,False,1,1,1,2
"If necessary to replace both halves on grill, sear cuts and allot extra time.",si734,1,False,3,3,1,2
"For roasts, insert meat thermometer diagonally so it does not rest on bone.",si735,1,False,5,1,0,1
Also make sure thermometer does not touch the revolving spit or hit the coals.,si736,1,False,1,0,2,2
"Have a test-run on the family first, to be sure timing and seasoning are right.",si737,1,False,3,1,1,0
Don't plan meals that are too complicated.,si738,1,False,2,0,0,1
Keep the desserts simple; fruit does nicely.,si739,1,False,1,0,0,0
Do without fancy tablecloths.,si740,1,False,1,0,0,0
"In the winter, hibachi in the kitchen or grill over the logs of the fireplace.",si741,1,False,4,0,2,2
"Summertime supper, outside, is a natural.",si742,1,False,1,0,0,0
Do buy all-purpose mugs or cups.,si743,1,False,0,0,0,1
Get copper or earthenware mugs that keep beer chilled or soup hot.,si744,1,False,0,1,0,1
Broil or toast as usual.,si745,1,False,0,0,0,0
"For sweet-sour sauce, cook onion in oil until soft.",si746,1,False,3,0,0,0
Add remaining ingredients and bring to a boil.,si747,1,False,4,0,0,0
"To prepare mustard cream, blend mustard with enough water to make a thin paste.",si748,1,False,3,2,0,3
Fold into whipped cream and add a dash of salt and sprinkling of paprika.,si749,1,False,2,0,2,0
"Add a few caraway seeds, too, if you'd like.",si750,1,False,0,1,0,0
Serve in frankfurter buns or as a meat dish.,si751,1,False,2,0,1,3
Pretend ham: make criss-cross gashes on one side of skinless frankfurters.,si752,1,False,5,1,1,2
Make a paste of brown sugar and mustard and spread lightly over scored surface.,si753,1,False,3,1,2,3
"Instructions for preparing clay, drying, glazing and firing are not given.",si754,1,False,4,1,1,0
Equipment: basic pottery studio equipment.,si755,1,False,2,0,0,1
"Materials: ceramic modeling clay: red, white or buff.",si756,1,False,0,1,0,1
Stoneware clay for tiles.,si757,1,False,1,1,0,1
"When mold has more than one design cavity, make individual paper patterns.",si758,1,False,6,1,2,1
Trim excess clay away from outer edges.,si759,1,False,0,3,0,2
Opaque cantaloupe and transparent wood brown were used.,si760,1,False,5,1,0,1
Paperweight may be personalized on back while clay is leather hard.,si761,1,False,1,1,0,2
Fill small hole in bowl with clay.,si762,1,False,1,0,0,0
Jars are assembled in bowl of butter mold.,si763,1,False,1,0,1,3
Trim excess clay from around lip of mold and set aside while assembling lid.,si764,1,False,3,3,1,1
Turn shaker upside down.,si765,1,False,2,0,0,0
Set aside to dry thoroughly.,si766,1,False,0,1,0,1
Trim away excess clay; reinforce seam with a coil of clay.,si767,1,False,1,2,1,0
"Make lid for sugar bowl the same as jar lids, omitting design disk.",si768,1,False,1,0,0,2
Set aside to dry with lid on sugar bowl.,si769,1,False,1,1,0,1
"Vases: make same as salt and pepper shakers, leaving off top pieces.",si770,1,False,1,1,2,2
Vases may be made into candles by filling with melted wax and a wick.,si771,1,False,3,2,0,0
A cardboard pattern cut to fit inside holder will help to prevent warping.,si772,1,False,3,2,1,2
Let all projects dry slowly for several days.,si773,1,False,0,3,1,1
Place work on a flat surface and smooth out.,si774,1,False,1,0,0,0
Thread matching yarn in tapestry needle.,si775,1,False,3,1,0,0
Do not draw yarn too tight.,si776,1,False,2,0,0,0
Ease in any extra fullness evenly around.,si777,1,False,4,1,1,2
Nor is she a wet boat.,si778,1,False,1,1,0,0
"The keelson, made of two three-inch widths, is next installed.",si779,1,False,4,1,1,0
The side ones are a half-inch narrower.,si780,1,False,3,0,0,1
"Again, these blocks were set in resin-saturated glass cloth and nailed.",si781,1,False,3,3,0,1
The decking is quarter-inch mahogany marine plywood.,si782,1,False,3,1,0,0
You can build this vacation cottage yourself.,si783,1,False,1,1,1,1
"It is a big project, not to be taken lightly.",si784,1,False,2,1,0,0
"The theory: the idea behind our design is modular units, or panelization.",si785,1,False,2,0,0,2
Don't lose the chuck key.,si786,1,False,1,0,0,0
Feed pressure is also of major importance.,si787,1,False,0,1,1,2
We have become amateur insurance experts and fine-feathered yard birds.,si788,1,False,4,4,1,2
"But problems cling to pools, as any pool owner knows.",si789,1,False,1,2,0,1
We seemed to be witnessing the population explosion right in our own backyards.,si790,1,False,4,0,0,0
"So rules we made, in unabashed collusion.",si791,1,False,2,0,0,0
"But fenced or unfenced, no pool-side is the place for running or horseplay.",si792,1,False,4,2,0,3
A pool is no place for a shut trap.,si793,1,False,1,0,0,1
You should firmly insist that no bobby pins or hair pins be worn in the water.,si794,1,False,6,1,0,1
"When shed, they leave rust marks.",si795,1,False,1,1,1,0
"The filtered air benefits allergies, asthma, sinus, hay fever.",si796,1,False,1,1,1,4
"The need for reupholstering, redecorating, repainting becomes more infrequent.",si797,1,False,3,1,0,3
"When you're less fatigued, things just naturally look brighter.",si798,1,False,2,1,0,0
That brings its per-year cost down mighty low.,si799,1,False,1,1,0,2
"The simplest kind of separate system uses a single, self-contained unit.",si800,1,False,3,1,1,0
"In a new house, generous roof overhangs are a logical and effective solution.",si801,1,False,2,2,2,1
They're easier to shade there.,si802,1,False,0,2,0,1
"Insulate, weatherstrip, double-glaze to the maximum.",si803,1,False,1,1,0,1
This is particularly true in site selection.,si804,1,False,1,1,0,0
Begin the examination of a site with a good map and aerial photos if possible.,si805,1,False,4,1,1,0
You need answers to four important questions.,si806,1,False,3,1,0,0
One of the most desirable features for a park are beautiful views or scenery.,si807,1,False,1,0,2,4
A site may also be attractive just through the beauty of its trees and shrubs.,si808,1,False,0,0,2,0
Topography -- topography is very important.,si809,1,False,0,1,1,2
An area sheltered from strong winds may be highly desirable for recreation use.,si810,1,False,2,3,0,2
"Meanwhile, three great terrible forces were coagulating and crystallizing.",si811,1,False,2,0,0,0
Need for novelty may be a symptom of cultural fatigue and instability.,si812,1,False,4,0,2,2
"Push-ups: push-ups are essential, but few have the strength for them at first.",si813,1,False,1,4,0,0
Fall slowly forward onto the hands and let the body down to rest on the floor.,si814,1,False,5,2,0,2
Push back up and repeat.,si815,1,False,1,0,0,0
Do this exercise six times each class period.,si816,1,False,0,1,0,1
This will prevent flat falls and toe injuries.,si817,1,False,3,0,1,2
Bones and cartilage transmit poorly and tend to reflect the ultrasonic signals.,si818,1,False,7,2,0,1
"There, forces are more latent than in electricity, and less than in magnetism.",si819,1,False,6,4,0,1
"By that, one feels that magnetic forces are as general as electrical forces.",si820,1,False,3,3,0,2
The target chart quickly and briefly tells you which additives do what.,si821,1,False,1,1,1,0
Milk production may be increased by the anti-infective properties of this drug.,si822,1,False,3,1,2,1
